name,type,value,date
湖北,province,41,2020/1/11
湖北,province,4,2020/1/18
湖北,province,17,2020/1/19
北京,province,1,2020/1/20
广东,province,1,2020/1/20
广东,province,1,2020/1/20
广东,province,1,2020/1/20
上海,province,1,2020/1/20
北京,province,2,2020/1/20
北京,province,2,2020/1/20
广东,province,3,2020/1/20
广东,province,8,2020/1/20
湖北,province,59,2020/1/20
湖北,province,77,2020/1/20
广东,province,1,2020/1/21
广东,province,1,2020/1/21
广东,province,1,2020/1/21
上海,province,1,2020/1/21
浙江,province,1,2020/1/21
浙江,province,1,2020/1/21
浙江,province,1,2020/1/21
台湾,province,1,2020/1/21
河南,province,1,2020/1/21
重庆,province,1,2020/1/21
四川,province,1,2020/1/21
北京,province,1,2020/1/21
北京,province,1,2020/1/21
北京,province,1,2020/1/21
北京,province,1,2020/1/21
北京,province,1,2020/1/21
云南,province,1,2020/1/21
山东,province,1,2020/1/21
天津,province,2,2020/1/21
浙江,province,2,2020/1/21
重庆,province,2,2020/1/21
重庆,province,2,2020/1/21
上海,province,4,2020/1/21
湖北,province,12,2020/1/21
湖北,province,60,2020/1/21
湖南,province,1,2020/1/22
四川,province,1,2020/1/22
江西,province,1,2020/1/22
江西,province,1,2020/1/22
澳门,province,1,2020/1/22
广东,province,1,2020/1/22
辽宁,province,1,2020/1/22
辽宁,province,1,2020/1/22
海南,province,1,2020/1/22
海南,province,1,2020/1/22
福建,province,1,2020/1/22
贵州,province,1,2020/1/22
四川,province,1,2020/1/22
山西,province,1,2020/1/22
重庆,province,1,2020/1/22
宁夏,province,1,2020/1/22
广西,province,1,2020/1/22
广西,province,1,2020/1/22
河南,province,1,2020/1/22
河南,province,1,2020/1/22
安徽,province,1,2020/1/22
山东,province,1,2020/1/22
湖北,province,1,2020/1/22
河北,province,1,2020/1/22
北京,province,1,2020/1/22
北京,province,1,2020/1/22
北京,province,1,2020/1/22
北京,province,1,2020/1/22
广东,province,2,2020/1/22
广东,province,2,2020/1/22
浙江,province,2,2020/1/22
天津,province,2,2020/1/22
海南,province,2,2020/1/22
四川,province,2,2020/1/22
河南,province,2,2020/1/22
上海,province,3,2020/1/22
浙江,province,3,2020/1/22
湖南,province,3,2020/1/22
广东,province,4,2020/1/22
湖北,province,6,2020/1/22
湖北,province,62,2020/1/22
湖北,province,105,2020/1/22
江苏,province,1,2020/1/23
黑龙江,province,1,2020/1/23
广西,province,1,2020/1/23
四川,province,1,2020/1/23
澳门,province,1,2020/1/23
广东,province,1,2020/1/23
广东,province,1,2020/1/23
广东,province,1,2020/1/23
吉林,province,1,2020/1/23
福建,province,1,2020/1/23
福建,province,1,2020/1/23
福建,province,1,2020/1/23
湖南,province,1,2020/1/23
湖南,province,1,2020/1/23
辽宁,province,1,2020/1/23
重庆,province,1,2020/1/23
贵州,province,1,2020/1/23
贵州,province,1,2020/1/23
安徽,province,1,2020/1/23
安徽,province,1,2020/1/23
安徽,province,1,2020/1/23
安徽,province,1,2020/1/23
江西,province,1,2020/1/23
浙江,province,1,2020/1/23
浙江,province,1,2020/1/23
浙江,province,1,2020/1/23
黑龙江,province,1,2020/1/23
福建,province,1,2020/1/23
陕西,province,1,2020/1/23
北京,province,1,2020/1/23
北京,province,1,2020/1/23
北京,province,1,2020/1/23
北京,province,1,2020/1/23
江苏,province,1,2020/1/23
江苏,province,1,2020/1/23
甘肃,province,1,2020/1/23
甘肃,province,1,2020/1/23
广西,province,2,2020/1/23
四川,province,2,2020/1/23
山东,province,2,2020/1/23
山东,province,2,2020/1/23
重庆,province,2,2020/1/23
浙江,province,2,2020/1/23
浙江,province,2,2020/1/23
新疆,province,2,2020/1/23
陕西,province,2,2020/1/23
香港,province,2,2020/1/23
江苏,province,2,2020/1/23
广东,province,3,2020/1/23
湖南,province,3,2020/1/23
安徽,province,4,2020/1/23
北京,province,4,2020/1/23
浙江,province,5,2020/1/23
浙江,province,5,2020/1/23
上海,province,7,2020/1/23
河北,province,1,2020/1/24
江西,province,1,2020/1/24
江西,province,1,2020/1/24
江西,province,1,2020/1/24
江西,province,1,2020/1/24
云南,province,1,2020/1/24
广西,province,1,2020/1/24
广西,province,1,2020/1/24
广西,province,1,2020/1/24
北京,province,1,2020/1/24
北京,province,1,2020/1/24
北京,province,1,2020/1/24
北京,province,1,2020/1/24
天津,province,1,2020/1/24
黑龙江,province,1,2020/1/24
黑龙江,province,1,2020/1/24
广东,province,1,2020/1/24
广东,province,1,2020/1/24
广东,province,1,2020/1/24
湖北,province,1,2020/1/24
湖北,province,1,2020/1/24
安徽,province,1,2020/1/24
安徽,province,1,2020/1/24
安徽,province,1,2020/1/24
安徽,province,1,2020/1/24
安徽,province,1,2020/1/24
安徽,province,1,2020/1/24
浙江,province,1,2020/1/24
重庆,province,1,2020/1/24
重庆,province,1,2020/1/24
重庆,province,1,2020/1/24
重庆,province,1,2020/1/24
重庆,province,1,2020/1/24
重庆,province,1,2020/1/24
重庆,province,1,2020/1/24
重庆,province,1,2020/1/24
重庆,province,1,2020/1/24
重庆,province,1,2020/1/24
河南,province,1,2020/1/24
河南,province,1,2020/1/24
河南,province,1,2020/1/24
河南,province,1,2020/1/24
吉林,province,1,2020/1/24
吉林,province,1,2020/1/24
四川,province,1,2020/1/24
四川,province,1,2020/1/24
四川,province,1,2020/1/24
四川,province,1,2020/1/24
山东,province,1,2020/1/24
山东,province,1,2020/1/24
山东,province,1,2020/1/24
江苏,province,1,2020/1/24
江苏,province,1,2020/1/24
江苏,province,1,2020/1/24
江苏,province,1,2020/1/24
海南,province,1,2020/1/24
海南,province,1,2020/1/24
湖南,province,1,2020/1/24
湖南,province,1,2020/1/24
辽宁,province,1,2020/1/24
内蒙古,province,1,2020/1/24
天津,province,1,2020/1/24
山东,province,1,2020/1/24
山东,province,1,2020/1/24
北京,province,1,2020/1/24
福建,province,1,2020/1/24
宁夏,province,1,2020/1/24
天津,province,1,2020/1/24
陕西,province,1,2020/1/24
陕西,province,1,2020/1/24
北京,province,1,2020/1/24
北京,province,1,2020/1/24
北京,province,1,2020/1/24
贵州,province,1,2020/1/24
天津,province,1,2020/1/24
云南,province,1,2020/1/24
云南,province,1,2020/1/24
云南,province,1,2020/1/24
广西,province,1,2020/1/24
广西,province,1,2020/1/24
江西,province,1,2020/1/24
